"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"R101"	"R102"	"R103"	"R104"	"R105"	"R106"	"R107"	"R108"	"R109"	"R110"	"R111"	"R112"	"R113"	"R114"	"R115"	"R116"	"R117"	"R118"	"R119"	"R120"	"R121"	"R122"	"R123"	"R124"	"R125"	"R126"	"R127"	"R128"	"R129"	"R130"	"R131"	"R132"	"R139"	"R140"	"R141"	"R142"	"R133"	"R143_01"	"R144_01"	"P001_01"	"P001_01a"	"P002_01"	"P002_01a"	"P003_01"	"P003_01a"	"P004_01"	"P004_01a"	"P005_01"	"P005_01a"	"P006_01"	"P006_01a"	"P007_01"	"P007_01a"	"P008_01"	"P008_01a"	"P009_01"	"P009_01a"	"P010_01"	"P010_01a"	"P011_01"	"P011_01a"	"P012_01"	"P012_01a"	"P013_01"	"P013_01a"	"P014_01"	"P014_01a"	"P015_01"	"P015_01a"	"P016_01"	"P016_01a"	"P017_01"	"P017_01a"	"P018_01"	"P018_01a"	"P019_01"	"P019_01a"	"P020_01"	"P020_01a"	"P021_01"	"P021_01a"	"P022_01"	"P022_01a"	"P023_01"	"P023_01a"	"P024_01"	"P024_01a"	"P025_01"	"P025_01a"	"P026_01"	"P026_01a"	"P027_01"	"P027_01a"	"P028_01"	"P028_01a"	"P029_01"	"P029_01a"	"P030_01"	"P030_01a"	"P031_01"	"P031_01a"	"P032_01"	"P032_01a"	"P033_01"	"P033_01a"	"P034_01"	"P034_01a"	"P035_01"	"P035_01a"	"P036_01"	"P036_01a"	"P037_01"	"P037_01a"	"P038_01"	"P038_01a"	"P039_01"	"P039_01a"	"P040_01"	"P040_01a"	"P041_01"	"P041_01a"	"P042_01"	"P042_01a"	"P043_01"	"P043_01a"	"P044_01"	"P044_01a"	"P045_01"	"P045_01a"	"P046_01"	"P046_01a"	"P047_01"	"P047_01a"	"P048_01"	"P048_01a"	"P049_01"	"P049_01a"	"P050_01"	"P050_01a"	"P051_01"	"P051_01a"	"P052_01"	"P052_01a"	"P053_01"	"P053_01a"	"P054_01"	"P054_01a"	"P055_01"	"P055_01a"	"P056_01"	"P056_01a"	"P057_01"	"P057_01a"	"P058_01"	"P058_01a"	"P059_01"	"P059_01a"	"P060_01"	"P060_01a"	"P061_01"	"P061_01a"	"P062_01"	"P062_01a"	"P063_01"	"P063_01a"	"P064_01"	"P064_01a"	"P065_01"	"P066_01"	"P067_01"	"P067_01a"	"D201_01"	"D201_01a"	"D202_01"	"D202_01a"	"D203_01"	"D203_01a"	"D204_01"	"D204_01a"	"D205_01"	"D205_01a"	"D206_01"	"D206_01a"	"D207_01"	"D207_01a"	"D208_01"	"D208_01a"	"D209_01"	"D209_01a"	"D210_01"	"D210_01a"	"D211_01"	"D211_01a"	"D212_01"	"D212_01a"	"D213_01"	"D213_01a"	"D214_01"	"D214_01a"	"D215_01"	"D215_01a"	"D216_01"	"D216_01a"	"D217_01"	"D217_01a"	"D218_01"	"D218_01a"	"D219_01"	"D219_01a"	"D220_01"	"D220_01a"	"D221_01"	"D221_01a"	"D222_01"	"D222_01a"	"D223_01"	"D223_01a"	"D224_01"	"D224_01a"	"D225_01"	"D225_01a"	"D226_01"	"D226_01a"	"D227_01"	"D227_01a"	"D228_01"	"D228_01a"	"D229_01"	"D229_01a"	"D230_01"	"D230_01a"	"D231_01"	"D231_01a"	"D232_01"	"D232_01a"	"D233_01"	"D233_01a"	"D234_01"	"D234_01a"	"D235_01"	"D235_01a"	"D236_01"	"D236_01a"	"D237_01"	"D237_01a"	"D238_01"	"D238_01a"	"D239_01"	"D239_01a"	"D240_01"	"D240_01a"	"D241_01"	"D241_01a"	"D242_01"	"D242_01a"	"D243_01"	"D243_01a"	"D244_01"	"D244_01a"	"D245_01"	"D245_01a"	"D246_01"	"D246_01a"	"D247_01"	"D247_01a"	"D248_01"	"D248_01a"	"D249_01"	"D249_01a"	"D250_01"	"D250_01a"	"D251_01"	"D251_01a"	"D252_01"	"D252_01a"	"D253_01"	"D253_01a"	"D254_01"	"D254_01a"	"D255_01"	"D255_01a"	"D256_01"	"D256_01a"	"D259_01"	"D259_01a"	"D260_01"	"D260_01a"	"D261_01"	"D261_01a"	"D262_01"	"D262_01a"	"D257_01"	"D258_01"	"D263_01"	"D263_01a"	"D264_01"	"D264_01a"	"ZZ01"	"ZZ01_03"	"ZZ02_01"	"ZZ03_01"	"TIME001"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME018"	"TIME019"	"TIME020"	"TIME021"	"TIME022"	"TIME023"	"TIME024"	"TIME025"	"TIME026"	"TIME027"	"TIME028"	"TIME029"	"TIME030"	"TIME031"	"TIME032"	"TIME033"	"TIME034"	"TIME035"	"TIME036"	"TIME037"	"TIME038"	"TIME039"	"TIME040"	"TIME041"	"TIME042"	"TIME043"	"TIME044"	"TIME045"	"TIME046"	"TIME047"	"TIME048"	"TIME049"	"TIME050"	"TIME051"	"TIME052"	"TIME053"	"TIME054"	"TIME055"	"TIME056"	"TIME057"	"TIME058"	"TIME059"	"TIME060"	"TIME061"	"TIME062"	"TIME063"	"TIME064"	"TIME065"	"TIME066"	"TIME067"	"TIME068"	"TIME069"	"TIME070"	"TIME071"	"TIME072"	"TIME073"	"TIME074"	"TIME075"	"TIME076"	"TIME077"	"TIME078"	"TIME079"	"TIME080"	"TIME081"	"TIME082"	"TIME083"	"TIME084"	"TIME085"	"TIME086"	"TIME087"	"TIME088"	"TIME089"	"TIME090"	"TIME091"	"TIME092"	"TIME093"	"TIME094"	"TIME095"	"TIME096"	"TIME097"	"TIME098"	"TIME099"	"TIME100"	"TIME101"	"TIME102"	"TIME103"	"TIME104"	"TIME105"	"TIME106"	"TIME107"	"TIME108"	"TIME109"	"TIME110"	"TIME111"	"TIME112"	"TIME113"	"TIME114"	"TIME115"	"TIME116"	"TIME117"	"TIME118"	"TIME119"	"TIME120"	"TIME121"	"TIME122"	"TIME123"	"TIME124"	"TIME125"	"TIME126"	"TIME127"	"TIME128"	"TIME129"	"TIME130"	"TIME131"	"TIME132"	"TIME133"	"TIME134"	"TIME135"	"TIME136"	"TIME137"	"TIME138"	"TIME139"	"TIME140"	"TIME141"	"TIME142"	"TIME143"	"TIME144"	"TIME145"	"TIME146"	"TIME147"	"TIME148"	"TIME149"	"TIME150"	"TIME151"	"TIME152"	"TIME153"	"TIME154"	"TIME155"	"TIME156"	"TIME157"	"TIME158"	"TIME159"	"TIME160"	"TIME161"	"TIME162"	"TIME163"	"TIME164"	"TIME165"	"TIME166"	"TIME167"	"TIME168"	"TIME169"	"TIME170"	"TIME171"	"TIME172"	"TIME173"	"TIME174"	"TIME175"	"TIME176"	"TIME177"	"TIME178"	"TIME179"	"TIME180"	"TIME181"	"TIME182"	"TIME183"	"TIME184"	"TIME185"	"TIME186"	"TIME187"	"TIME188"	"TIME189"	"TIME190"	"TIME191"	"TIME192"	"TIME193"	"TIME194"	"TIME195"	"TIME196"	"TIME197"	"TIME198"	"TIME199"	"TIME200"	"TIME201"	"TIME202"	"TIME203"	"TIME204"	"TIME205"	"TIME206"	"TIME207"	"TIME208"	"TIME209"	"TIME210"	"TIME211"	"TIME212"	"TIME213"	"TIME214"	"TIME215"	"TIME216"	"TIME217"	"TIME218"	"TIME219"	"TIME220"	"TIME221"	"TIME222"	"TIME223"	"TIME224"	"TIME225"	"TIME226"	"TIME227"	"TIME228"	"TIME229"	"TIME230"	"TIME231"	"TIME232"	"TIME233"	"TIME234"	"TIME235"	"TIME236"	"TIME237"	"TIME238"	"TIME239"	"TIME240"	"TIME241"	"TIME242"	"TIME243"	"TIME244"	"TIME245"	"TIME246"	"TIME247"	"TIME248"	"TIME249"	"TIME250"	"TIME251"	"TIME252"	"TIME253"	"TIME254"	"TIME255"	"TIME256"	"TIME257"	"TIME258"	"TIME259"	"TIME260"	"TIME261"	"TIME262"	"TIME263"	"TIME264"	"TIME265"	"TIME266"	"TIME267"	"TIME268"	"TIME269"	"TIME270"	"TIME271"	"TIME272"	"TIME273"	"TIME274"	"TIME275"	"TIME276"	"TIME277"	"TIME278"	"TIME279"	"TIME280"	"TIME281"	"TIME282"	"TIME283"	"TIME284"	"TIME285"	"TIME286"	"TIME287"	"TIME288"	"TIME289"	"TIME290"	"TIME291"	"TIME292"	"TIME293"	"TIME294"	"TIME295"	"TIME296"	"TIME297"	"TIME298"	"TIME299"	"TIME300"	"TIME301"	"TIME302"	"TIME303"	"TIME304"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
977			"base"	"interview"	2020-11-18 18:17:11																															3				4		3																																																																																																																																							1	660	2	6464	1	1004	1	700	2	8392	1	1154	1	1000	1	1428	1	1567	1	221	1	2400	1	3147	1	651	1	1208	2	2777	2	205	1	891	2	1238	1	1062	1	307	2	1286	2	1587	1	1082	2	10544	2	2649	2	3199	1	1324	2	2688	1	574	2	979	2	1122	2	19	2	1155	1	703	2	685	2	137	2	2374	2	2223	2	235	1	364	2	131	2	345	1	3099	1	492	2	207	2	1051	1	5667	2	140	2	1174	2	645	2	1112	1	23	1	634	1	6335	2	631	2	1224	1	8331	1	7272	1	4341	2	6737	72	60	1	10117	1	36396				"DRP"	10																																																																																																																																					10	31	9																															44				20			37	2	9	8	1	8	8	2	5	14	3	7	13	11	55	7	1	4	7	3	1	5	1	5	9	4	2	4	1	4	2	3	2	3	1	2	3	3	4	4	1	3	2	4	3	3	1	3	1	4	1	3	2	3	1	3	2	3	2	3	2	3	11	3	3	3	4	4	2	3	4	3	1	2	2	3	1	4	0	5	2	3	2	3	1	6	1	3	3	4	3	4	0	3	1	5	1	3	1	3	4	4	1	2	1	3	2	4	6	5	1	4	1	3	1	3	1	4	1	2	2	3	7	2	1	3	2	27			599		2020-11-18 18:28:07	F	F	168	302	0	0	0.79	9
978			"base"	"interview"	2020-11-18 18:17:21	3	1	4	2	3	1	4	3	3	2	3	2	3	3	1	4	1	1	2	3	3	3	1	4	4	4	2	4	1	1	2	1	1	3	4	3	3	24	50	1	668	2	770	1	1366	2	1014	2	391	1	795	2	390	1	552	1	987	1	473	2	3007	1	476	2	389	2	218	1	987	2	903	1	6371	1	532	1	1212	1	544	2	339	2	190	1	756	1	523	2	532	2	914	1	637	1	751	1	805	2	528	2	2718	1	624	1	531	1	500	1	561	2	483	1	305	1	436	1	1261	1	7424	2	939	1	483	2	783	1	380	2	508	1	298	1	527	2	308	2	1615	2	294	1	641	1	687	2	889	2	7159	1	575	1	456	2	576	2	30	1	558	2	712	2	1301	1	281	2	9828	1	72	34	71	1	43064	2	485	1	657	2	803	1	1576	1	839	1	747	2	454	1	274	1	17720	2	1624	1	315	1	389	1	209	1	150	2	2029	2	756	2	531	2	459	1	4376	2	225	2	3628	2	185	1	214	1	897	1	804	2	598	1	498	1	231	1	230	1	533	2	32	2	360	1	726	1	689	1	1483	1	107	1	434	1	9700	2	7420	1	370	2	920	2	770	1	411	2	381	1	775	2	346	2	3142	1	322	1	608	1	1227	2	425	1	4550	1	1186	2	540	1	224	2	165	2	1778	1	4087	2	898	1	97	56	54	1	57507	1	69881	2		29	"DPR"	21	8	23	44	3	1	2	2	3	2	2	3	2	2	4	2	3	1	3	2	3	2	6	1	3	4	4	1	2	3	2	1	10	2	3	2	3	8	16	1	9	3	4	1	2	2	4	1	3	2	3	2	3	1	3	2	2	2	3	2	3	2	3	2	3	3	2	3	3	2	4	1	3	1	4	1	6	1	3	1	5	3	5	8	2	2	2	1	3	1	3	1	4	1	4	1	2	1	2	2	3	3	3	2	9	2	2	3	3	2	3	9	3	1	4	1	3	2	2	1	3	2	3	1	4	2	2	2	3	11	4	2	12	8	7	7	3	46	7	4	7	5	10	11	21	4	4	15	7	7	6	10	6	5	8	5	4	8	33	6	11	8	7	4	4	6	22	9	5	4	21	6	5	71	3	4	6	3	5	6	3	2	7	4	1	6	58	196	6	1	3	2	4	1	4	4	4	2	3	3	4	1	4	1	5	18	11	3	4	2	5	1	4	1	4	2	6	3	4	2	4	3	4	1	4	6	4	1	9	7	6	1	4	1	4	2	4	2	4	1	5	2	5	1	4	1	5	1	3	1	3	2	4	1	4	2	3	3	4	1	3	1	3	11	4	9	4	1	4	1	4	2	3	1	4	1	3	2	4	1	3	4	4	1	4	2	3	2	4	1	4	5	3	2	4	1	3	1	4	1	11	11	28	1481		2020-11-18 18:44:54	T	F	304	304	0	0	0.73	1
979			"base"	"interview"	2020-11-18 18:17:21	3	3	2	1	3	4	1	1	2	3	2	3	3	3	1	4	4	3	4	2	3	1	1	4	3	4	2	1	2	3	3	1	4	3	4	3	2	74	56	2	267	1	96	1	406	2	37	2	96	2	78	2	17	1	10	2	307	1	116	1	82	2	63	1	140	1	241	2	2813	2	82	1	440	1	99	1	236	1	138	1	34	1	142	2	62	2	104	1	80	1	66	1	84	2	219	2	341	2	399	1	37	2	7	1	173	2	1	1	27	2	122	1	92	1	178	1	24	2	101	1	18	1	7	1	208	2	419	1	90	2	123	2	82	1	241	1	99	1	43	2	60	1	124	1	118	2	239	2	203	2	287	1	172	2	12	1	222	2	242	2	2	2	113	2	19	2	26	52	58	1	4378	1	152	1	135	1	70	1	73	1	200	2	199	1	209	2	118	1	45	1	207	2	7	2	57	2	235	1	85	2	54	1	80	2	100	1	158	1	8	2	239	2	128	1	140	1	56	1	221	1	199	1	162	1	244	2	127	2	111	2	135	2	192	2	2842	1	7	1	151	2	106	2	43	2	67	1	51	2	55	1	186	2	215	2	230	2	140	2	133	1	33	2	186	1	167	1	94	2	168	2	475	1	42	1	4220	2	129	1	287	2	29	1	10	2	1443	1	496	1	1442	2	85	61	59	1	4112	1	11243	2		25	"DRP"	9	6	20	4	2	1	2	0	2	1	2	0	2	1	2	0	2	1	2	1	2	1	1	1	2	0	3	0	2	0	2	0	2	3	2	0	2	1	3	0	3	0	2	0	3	0	2	1	1	1	2	0	2	1	2	0	2	0	3	0	2	1	1	1	2	1	2	0	1	1	2	0	1	1	2	1	2	0	1	1	3	0	2	0	2	0	3	0	2	1	2	1	2	1	2	1	3	0	2	1	2	0	1	1	2	0	2	0	2	1	2	0	2	1	2	1	2	0	2	0	2	0	1	1	2	0	2	1	1	1	2	0	13	0	11	5	6	4	4	4	5	4	5	6	4	4	5	3	5	10	4	4	4	5	7	4	4	5	11	6	4	6	5	8	4	5	6	5	5	4	5	7	7	12	2	2	7	1	1	4	2	2	4	2	1	9	4	101	3	0	2	1	2	1	3	0	2	0	2	1	3	1	3	1	2	0	2	1	2	1	3	1	2	1	3	1	3	0	2	1	2	1	2	1	3	0	2	1	2	1	3	0	3	1	3	0	2	1	2	1	2	1	3	0	2	0	2	1	2	1	2	3	2	1	2	0	3	0	2	1	2	0	2	1	2	1	2	0	2	1	2	0	2	0	2	1	2	1	2	0	3	0	3	0	3	0	2	1	2	1	3	4	2	0	3	0	2	1	2	1	9	10	13	777		2020-11-18 18:30:23	T	F	304	304	0	0	1.5	100
980			"base"	"interview"	2020-11-18 18:17:24	3	1	3	4	2	3	4	1	3	3	3	3	1	1	2	2	1	2	1	3	3	3	2	4	4	4	4	4	1	3	4	1	3	3	4	3	3	56	47	2	173	1	67	1	111	2	64	2	344	1	278	2	70	2	358	2	66	1	217	1	547	2	48	2	1804	2	6	2	137	2	220	2	256	1	63	2	200	2	129	2	1	2	55	2	125	1	251	1	3925	2	63	1	258	2	283	2	93	1	53	1	1525	2	131	1	63	2	254	1	1494	1	58	2	243	1	108	2	110	2	167	1	155	1	92	1	107	2	59	1	49	2	79	2	50	1	132	2	153	1	2900	1	162	1	168	1	1107	2	16	1	178	2	187	1	2	2	115	2	309	2	62	1	24	1	24	2	119	2	69	53	71	1	21699	1	195	2	134	2	186	2	211	2	32	1	148	2	50	2	189	2	209	2	51	1	50	2	192	1	2	2	60	1	37	1	51	2	19	2	106	1	171	1	165	1	139	1	241	2	512	2	123	1	18	1	1318	1	1	2	103	2	29	2	135	2	251	1	158	1	192	1	411	1	18	2	651	1	119	2	217	2	155	2	14	1	45	1	55	1	37	2	247	2	59	2	23	1	159	2	285	2	65	2	57	2	190	2	99	1	9	2	148	1	64	1	24	2	1722	2	180	2	157	1	135	59	73	1	1465	1	6877	2		25	"RPD"	816	5	20	23	3	1	2	0	2	0	2	1	2	1	3	1	3	0	2	1	2	1	2	0	2	1	2	0	3	2	2	0	2	1	2	0	3	0	2	0	2	0	1	1	2	0	2	0	2	0	2	1	2	5	2	0	2	0	2	1	2	1	2	1	7	2	2	1	2	0	3	1	3	2	2	1	3	0	2	0	2	0	2	1	2	1	2	1	2	1	3	0	2	1	2	1	2	1	3	0	2	1	3	3	2	0	3	0	3	1	2	1	2	1	1	1	2	0	3	0	1	1	3	0	1	1	2	1	2	0	2	0	22	18	36	9	6	6	5	9	52	4	53	11	47	5	8	14	7	5	5	6	5	8	5	7	8	36	6	4	7	6	6	6	7	9	10	21	11	5	33	6	6	7	2	3	9	1	1	15	2	0	10	3	0	9	2	89	3	0	2	1	2	1	3	1	2	0	2	1	3	0	3	0	2	1	2	1	2	0	3	1	3	1	3	1	3	0	3	1	2	1	3	0	3	0	2	0	2	1	3	1	3	1	2	1	2	1	2	2	3	0	3	0	3	0	3	0	2	1	3	1	2	1	2	1	3	0	3	1	3	0	3	0	2	0	2	1	2	1	2	1	2	0	2	1	2	0	2	0	3	0	2	1	3	1	2	1	3	0	2	1	3	0	3	1	2	1	2	0	15	10	15	990		2020-11-18 18:50:04	T	F	304	304	0	0	1.37	94
981			"base"	"interview"	2020-11-18 18:17:32	1	4	2	4	2	3	3	2	1	3	4	1	1	4	2	3	2	1	3	3	3	4	1	4	4	4	3	2	1	1	3	1	1	2	3	3	3	81	91	1	580	2	751	2	412	2	499	1	358	1	241	2	371	1	934	1	5780	2	858	2	459	2	655	2	509	1	310	2	660	2	394	2	436	1	564	1	299	2	2281	1	447	2	385	2	406	1	465	1	96	2	292	2	556	1	1758	1	2149	2	1256	2	1101	1	516	2	421	1	240	2	509	1	249	2	468	1	364	1	680	2	617	1	439	2	328	1	719	2	486	2	332	1	429	2	386	1	139	1	312	1	1776	2	533	1	2556	1	433	1	17	1	437	2	261	2	524	1	410	1	431	1	333	1	472	2	1924	2	499	2	410	97	95	1	23241	1	-1	1	-1	2	-1	2	-1	2	-1	1	-1	2	-1	2	-1	1	-1	2	-1	1	-1	1	-1	1	-1	1	-1	2	-1	2	-1	2	-1	2	-1	1	-1	2	-1	2	-1	1	-1	1	-1	1	-1	2	-1	1	-1	2	-1	2	-1	2	-1	2	-1	1	-1	1	-1	1	-1	2	-1	2	-1	1	-1	1	-1	1	-1	2	-1	2	-1	2	-1	2	-1	1	-1	2	-1	2	-1	2	-1	2	-1	2	-1	2	-1	2	-1	1	-1	2	-1	1	-1	2	-1	1	-1	1	-1	2	391	1	-1	2	2355	1	-1	71	71			1	18441	1		28	"PDR"	14	14	28	27	3	2	4	2	4	1	11	1	5	1	3	2	5	2	3	2	3	9	3	1	4	1	2	2	4	2	3	2	4	2	3	1	4	2	3	2	4	1	2	4	4	1	3	2	4	3	3	1	6	1	3	1	4	2	4	2	3	4	3	3	3	2	2	1	2	2	2	2	3	1	3	1	2	2	2	1	3	1	3	1	2	2	3	2	5	2	4	1	4	2	3	1	4	1	4	1	4	1	3	4	2	2	3	5	3	1	2	1	2	2	3	1	4	1	3	2	3	2	2	2	5	3	3	4	2	2	4	1	17	18	7	3	7	7	4	9	4	6	7	5	10	6	6	8	6	7	7	9	6	28	9	8	8	8	8	6	11	7	7	6	6	14	8	11	6	8	10	8	10	21	3	1	13	3	4	6	3	5	11	4	7	5	3	181	3	9	7	4	4	4	5	3	3	3	3	5	4	21	4	4	3	3	3	12	2	20	6	4	4	5	3	11	5	7	5	3	3	5	3	4	4	3	3	5	4	6	3	3	4	5	4	3	4	4	3	3	6	3	3	3	3	6	4	3	3	25	3	3	4	3	3	5	5	3	4	13	3	4	3	6	3	8	4	4	3	3	4	5	5	5	4	6	3	4	4	6	4	3	3	3	4	6	3	5	3	5	5	3	4	5	4	4	3	6	3	4	13	9	10	1480		2020-11-18 18:44:11	T	F	304	304	0	0	0.66	1
982			"base"	"interview"	2020-11-18 18:17:42																																																												1	2113													1	19																																																																																															1	10559																																																																																																																																		"PRD"	27	7	74	11																					2	2													2	1																																															3																																																																																																					2																																																																																																																				131		2020-11-18 18:19:53	F	F	88	189	0	0	1.11	56
983			"base"	"interview"	2020-11-18 18:17:42																																																																																																																																																														1	2027	1	230									1	33775																																																																																																																																		"PDR"	9	12	544	35																															2																																																																																								2	3	2	1																																																														3																																																																																																																				92		2020-11-18 18:27:55	F	F	36	189	0	0	1.01	52
984			"base"	"interview"	2020-11-18 18:17:54	3	3	1	3	2	3	3	1	3	3	2	4	1	3	4	3	4	1	3	3	3	3	1	1	4	1	1	3	4	1	3	1	3	1	3	2	3	74	73	1	632	1	188	1	399	1	12203	1	1028	1	636	1	826	1	1103	1	1831	1	699	1	595	2	227	1	972	1	901	1	571	2	109	2	189	1	532	1	853	1	375	1	2565	1	472	1	2497	1	1094	1	785	1	932	2	71	1	507	1	24498	1	1038	1	4601	1	916	1	756	1	667	1	622	2	1445	2	353	1	975	1	1147	1	1369	1	605	1	548	2	507	1	1020	1	611	1	509	1	678	1	1175	1	442	1	1251	1	624	1	1054	1	653	1	16	1	756	1	1111	2	575	1	1065	2	366	1	835256	1	602	1	813	1	693	1	755	72	84	1	22240	1	514	2	65	1	342	1	290	1	346	1	525	1	137	1	884	1	612	1	671	1	580	2	64	1	554	1	960	2	117	1	542	1	464	2	124	1	747	1	32	1	607	1	622	1	289	2	1119	1	75	1	505	1	392	1	688	2	125	1	489	1	663	1	823	1	769	1	599	1	1387	1	794	1	661	1	700	2	3375	1	713	2	152	1	567	1	524	1	535	1	396	2	21	1	3681	1	28	1	1938	1	103	1	283	1	715	1	535	1	319	1	791	1	153	1	2884	1	66	1	69	2	1009	75	77	1	3542	1	12936	2		33	"PDR"	18	11	21	26	3	2	3	3	2	1	3	16	2	2	4	2	2	2	2	2	3	5	3	1	3	1	3	1	2	4	3	2	4	2	3	1	4	1	2	2	3	2	4	1	5	4	3	2	2	3	3	2	3	4	5	2	3	1	3	1	2	28	3	2	4	7	2	2	3	1	3	1	3	1	2	3	4	1	3	2	3	4	3	5	2	2	5	1	4	1	3	2	5	1	3	1	2	2	2	4	3	2	5	2	3	1	4	2	3	1	3	1	3	2	2	2	2	4	4	2	2	5	2	839	3	2	2	4	2	1	3	2	20	15	13	9	6	5	5	12	6	6	7	13	8	9	10	10	10	6	9	9	9	7	8	8	9	7	9	6	24	8	7	5	12	4	10	10	9	17	15	9	11	16	5	4	8	2	1	11	3	1	14	3	2	16	5	185	6	2	4	1	4	1	4	1	3	2	3	1	4	1	6	1	5	2	3	1	3	1	4	0	5	2	3	2	4	1	4	1	3	2	3	1	3	2	4	1	3	2	4	1	4	1	4	2	4	1	3	1	4	3	3	2	3	1	3	2	4	1	3	2	3	2	3	3	4	2	4	2	5	2	3	2	3	4	4	1	3	1	4	1	3	1	4	1	3	1	3	1	4	4	4	1	3	5	3	1	3	1	5	2	3	2	3	2	4	2	3	1	16	13	33	1427		2020-11-18 18:56:26	T	F	304	304	0	0	0.74	2
985			"base"	"interview"	2020-11-18 18:17:55	1	4	2	2	3	2	3	1	2	3	4	1	2	3	1	2	2	2	3	1	3	1	1	2	3	3	2	2	1	2	3	3	3	4	3	2	3	51	72	2	61	1	518	1	247	2	610	1	355	2	135	1	23091	1	71	1	322	1	80	2	49561	1	103	2	27439	2	170	1	2	1	117	1	367	2	131	1	84	1	72	2	2194	2	154	2	43	1	107	1	135	1	708	2	448	1	1314	2	67	2	8	1	90	2	5016	2	171	1	6	2	189	2	176	1	77	1	174	1	769	1	398	2	281	1	68344	2	30396	2	212	1	148	1	1637	2	30112	2	29	1	998	1	90	1	115	2	7861	1	82	1	379	2	97	1	695	2	396	1	620	2	325	1	291	1	112	2	0	1	103	1	570	101	92	1	8553	1	1515	2	125	1	349	1	168	1	208	1	390	1	695	2	73	1	591	1	460	2	81	2	235	1	251	1	210	1	50	2	74	1	689	2	167	2	883	2	438	2	6991	2	70	2	2794	1	652	1	1689	1	888	1	221	1	134	1	489	1	82	1	10029	1	11	2	7	1	206	1	59	2	57	2	54	2	21033	1	290	1	74	2	631	2	773	1	150	2	259	2	644	2	19	1	27	1	2308	2	239	1	2659	2	141	2	594	1	106	2	96	2	20	2	4113	1	2062	2	2148	2	2146	2	5405	89	95	1	8819	1	12057	2		25	"RDP"	9	7	29	9	2	1	3	1	3	1	3	1	3	1	3	0	3	23	3	0	3	1	2	1	2	50	2	1	2	28	3	1	2	1	2	1	2	1	2	1	2	1	2	1	3	3	3	0	3	0	2	1	5	1	2	2	2	1	3	2	2	0	2	1	2	1	2	5	2	1	2	0	2	1	2	1	2	1	2	1	2	1	2	1	2	1	3	70	3	31	3	1	2	1	2	2	3	30	2	1	3	1	3	0	3	1	4	9	2	1	2	1	2	1	3	1	2	1	3	1	2	1	2	1	2	1	2	1	2	0	3	1	8	9	17	3	50	4	4	11	4	5	6	5	5	5	4	4	5	3	50	5	6	4	4	3	5	4	12	401	3	5	4	4	4	4	6	3	4	3	5	7	14	14	2	3	5	2	2	6	2	3	7	3	6	12	9	116	3	2	3	0	2	1	3	1	3	1	2	1	3	2	3	0	3	1	3	1	3	1	3	1	4	1	3	1	4	0	3	0	3	2	3	1	3	1	2	1	3	8	3	1	4	3	3	1	2	3	3	1	3	1	2	1	2	1	3	1	3	10	3	1	2	1	8	1	3	1	3	1	3	1	2	22	3	1	2	1	7	1	2	2	3	1	3	1	2	1	2	1	3	1	7	3	3	1	3	4	31	1	3	2	3	0	3	1	3	0	3	5	14	7	45	979		2020-11-18 18:47:40	T	F	304	304	0	0	1.04	27
986			"base"	"interview"	2020-11-18 18:17:58																																																																																																																																																																										1	63762																																																																																																																																		"PDR"	101	44	19	64																									2																																																																																																																																																															1																																																																																																																				142		2020-11-18 18:21:49	F	F	30	189	0	0	0.98	85
